Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Age,km_year,km_year1,shabby,euro_r
Skoda,Superb,2009,Sedan,265000.0,1800.0,Petrol,Manual,5950.0,13,q4,20385.0,34450.0,8038.333333333333
Volkswagen,Passat,2011,Universal,244000.0,1600.0,Diesel,Manual,9600.0,11,q4,22182.0,26840.0,10104.470588235294
Skoda,Rapid,2016,Sedan,188000.0,1422.0,Diesel,Manual,7750.0,6,q4,31333.0,11280.0,3428.235294117647
Nissan,Qashqai+2,2011,Microvan,207000.0,1500.0,Diesel,Manual,7800.0,11,q3,18818.0,22770.0,6964.941176470588
Ford,Fusion,2018,Sedan,33339.0,2000.0,Plug-in Hybrid,Automatic,20800.0,4,q1,8335.0,1333.56,1087.7665882352942
Ford,Focus,2017,Universal,160000.0,1500.0,Diesel,Manual,7200.0,5,q4,32000.0,8000.0,2258.823529411765
Mercedes,E Class,2008,Sedan,230000.0,1800.0,Metan/Propan,Automatic,7700.0,14,q3,16429.0,32200.0,9723.137254901962
Mercedes,E Class,2000,Sedan,303000.0,2000.0,Metan/Propan,Automatic,3800.0,22,q2,13773.0,66660.0,9933.64705882353
Dacia,Sandero,2012,Hatchback,111896.0,1200.0,Petrol,Manual,3499.0,10,q2,11190.0,11189.6,1535.3886431372548
Toyota,Prius,2012,Universal,165000.0,1800.0,Hybrid,Automatic,9200.0,10,q3,16500.0,16500.0,5952.941176470588
Toyota,Auris,2015,Universal,169265.0,1800.0,Hybrid,Automatic,12650.0,7,q4,24181.0,11848.55,5877.8100980392155
Hyundai,Getz,2007,Hatchback,172316.0,1400.0,Petrol,Manual,2800.0,15,q2,11488.0,25847.4,2838.145882352941
Volvo,Rare,2016,Hatchback,184500.0,1500.0,Petrol,Automatic,15499.0,6,q4,30750.0,11070.0,6728.389411764706
Mercedes,M Class,2013,Crossover,122000.0,3500.0,Diesel,Automatic,34000.0,9,q2,13556.0,10980.0,14640.0
Mercedes,C Class,2017,Sedan,127000.0,2000.0,Petrol,Automatic,21990.0,5,q4,25400.0,6350.0,5475.941176470588
BMW,3 Series,2007,Sedan,193000.0,1988.0,Petrol,Automatic,7600.0,15,q2,12867.0,28950.0,8628.235294117647
Audi,A4,1996,Sedan,256000.0,1800.0,Petrol,Manual,2300.0,26,q1,9846.0,66560.0,6003.450980392156
Volvo,Rare,2013,Universal,162000.0,2400.0,Plug-in Hybrid,Automatic,15000.0,9,q3,18000.0,14580.0,8576.470588235294
Volkswagen,Golf,2019,Hatchback,26000.0,1400.0,Petrol,Automatic,12990.0,3,q1,8667.0,780.0,397.3411764705882
Toyota,Avensis,2007,Combi,220000.0,1600.0,Petrol,Manual,6500.0,15,q3,14667.0,33000.0,8411.764705882353
Hyundai,ix35,2012,SUV,199000.0,2000.0,Diesel,Manual,11800.0,10,q4,19900.0,19900.0,9208.627450980392
Skoda,Octavia,2014,Sedan,216000.0,1600.0,Diesel,Automatic,10700.0,8,q4,27000.0,17280.0,7250.823529411765
Volkswagen,Jetta,2013,Sedan,188000.0,1400.0,Hybrid,Automatic,8800.0,9,q4,20889.0,16920.0,5839.058823529412
